title,category,county,address,address2,zip,address_full
Gas Station,Miscellaneous,St. Clair,306 Riverpark Drive,"East St. Louis IL, 62201",62201,"306 Riverpark Drive, East St. Louis IL, 62201"
Food Lovers Grill,Miscellaneous,St. Clair,515 Martin Luther King Drive,"East St. Louis IL, 62201",62201,"515 Martin Luther King Drive, East St. Louis IL, 62201"
McDonalds,Miscellaneous,St. Clair,588 N 24th St,"East St. Louis IL, 62205",62205,"588 N 24th St, East St. Louis IL, 62205"
Church's Chicken,Miscellaneous,St. Clair,5520 Caseyville Ave,"Washington Park IL, 62204",62204,"5520 Caseyville Ave, Washington Park IL, 62204"
Griffin Homes,Miscellaneous,St. Clair,2500 Lincoln Ave,"East St. Louis IL, 62204",62204,"2500 Lincoln Ave, East St. Louis IL, 62204"
Dollars Today,Payday Loan,St Clair,1325 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1325 Camp Jackson Rd, East St Louis, IL 62206"
First Payday Loans,Payday Loan,St Clair,1238 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1238 Camp Jackson Rd, East St Louis, IL 62206"
Lendnation,Payday Loan,St Clair,1238 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1238 Camp Jackson Rd, East St Louis, IL 62206"
Titlemax,Payday Loan,St Clair,1301 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1301 Camp Jackson Rd, East St Louis, IL 62206"
Medicine Shoppe,"Pharmacy, Chain",St Clair,817 Upper Cahokia Rd,"East St Louis, IL 62206",62206,"817 Upper Cahokia Rd, East St Louis, IL 62206"
Walgreens,"Pharmacy, Chain",St Clair,1201 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1201 Camp Jackson Rd, East St Louis, IL 62206"
Walgreens,"Pharmacy, Chain",St Clair,2510 State St,"East St Louis, IL 62205",62205,"2510 State St, East St Louis, IL 62205"
Health Mart Pharmacy,"Pharmacy, Local",St Clair,2007 Camp Jackson Rd,"East St Louis, IL 62206",62206,"2007 Camp Jackson Rd, East St Louis, IL 62206"
Medicate Central Pharmacy,"Pharmacy, Local",St Clair,1833 Kingshighway,"East St Louis, IL 62204",62204,"1833 Kingshighway, East St Louis, IL 62204"
Medicate Pharmacy,"Pharmacy, Local",St Clair,100 N 8th St,"East St Louis, IL 62201",62201,"100 N 8th St, East St Louis, IL 62201"
Medicate Pharmacy,"Pharmacy, Local",St Clair,5869 Bond Ave,"East St Louis, IL 62207",62207,"5869 Bond Ave, East St Louis, IL 62207"
Washington Park Pharmacy,"Pharmacy, Local",St Clair,6104 Forest Blvd,"East St Louis, IL 62204",62204,"6104 Forest Blvd, East St Louis, IL 62204"
Washington Park Pharmacy,"Pharmacy, Local",St Clair,6104 Forest Blvd,"East St Louis, IL 62204",62204,"6104 Forest Blvd, East St Louis, IL 62204"
